team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
euskaltel-euskadi,Euskaltel - Euskadi,2026,24922,Classica Camp de Morvedre,1.1,2026-01-23,completed,sprint-friendly one-day,37.332775,37.332775,7,MARTÍN Gotzon,oneday,0.240746,21.534906,1.130289,0.16147,118.507562,0.611961,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,18947,Figueira Champions Classic,1.Pro,2026-02-14,completed,sprint-friendly one-day,83.345077,83.345077,7,MARTÍN Gotzon,oneday,0.240746,50.339178,1.130289,0.16147,277.763446,0.653087,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,80.655227,80.655227,7,MARTÍN Gotzon,oneday,0.240746,45.839242,1.130289,0.16147,252.077539,0.599237,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,16519,Clásica Jaén,1.1,2026-02-16,completed,sprint-friendly one-day,54.213492,54.213492,7,MARTÍN Gotzon,oneday,0.240746,32.486067,1.130289,0.16147,179.176025,0.645896,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,110,Vuelta a Andalucía,2.Pro,2026-02-18,completed,multi-stage race,153.987546,153.987546,7,MARTÍN Gotzon,oneday,0.240746,68.869893,1.248995,0.178428,432.481253,0.46711,MARTÍN Gotzon | LÓPEZ Jordi | VAN DER TUUK Axel,oneday | gc | gc
euskaltel-euskadi,Euskaltel - Euskadi,2026,27602,Visit South Aegean GP,1.1,2026-02-28,completed,sprint-friendly one-day,37.332775,37.332775,7,MARTÍN Gotzon,oneday,0.240746,21.534906,1.130289,0.16147,118.507562,0.611961,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,27604,Region on Dodecanese GP,1.1,2026-03-01,completed,sprint-friendly one-day,37.332775,37.332775,7,MARTÍN Gotzon,oneday,0.240746,21.534906,1.130289,0.16147,118.507562,0.611961,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,132,Tour de Taiwan,2.1,2026-03-15,completed,multi-stage race,52.678329,52.678329,7,MARTÍN Gotzon,oneday,0.240746,23.096459,1.260247,0.180035,133.283172,0.388859,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,22014,Clásica Terres de l´Ebre,1.1,2026-03-21,completed,sprint-friendly one-day,55.045947,55.045947,7,MARTÍN Gotzon,oneday,0.240746,33.072814,1.130289,0.16147,182.438614,0.648309,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,14,Volta Ciclista a Catalunya,2.UWT,2026-03-23,completed,multi-stage race,90.442491,90.442491,7,LÓPEZ Jordi,gc,0.18547,40.631833,1.248995,0.178428,257.87495,0.478204,LÓPEZ Jordi | MARTÍN Gotzon | VAN DER TUUK Axel,gc | oneday | gc
euskaltel-euskadi,Euskaltel - Euskadi,2026,260,La Roue Tourangelle,1.1,2026-03-29,completed,sprint-friendly one-day,20.685361,20.685361,7,MARTÍN Gotzon,oneday,0.240746,11.687523,1.130289,0.16147,64.249876,0.59422,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,145,Paris - Camembert,1.1,2026-03-31,completed,sprint-friendly one-day,22.585759,22.585759,7,MARTÍN Gotzon,oneday,0.240746,12.626072,1.130289,0.16147,69.366345,0.585178,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,134,Route Adélie de Vitré,1.1,2026-04-03,completed,hard one-day,13.160925,13.160925,7,MARTÍN Gotzon,oneday,0.240746,6.988813,1.130289,0.16147,38.178274,0.540928,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,48,GP Miguel Indurain,1.Pro,2026-04-04,completed,sprint-friendly one-day,69.412755,69.412755,7,MARTÍN Gotzon,oneday,0.240746,38.590838,1.130289,0.16147,211.945636,0.580546,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,6,Itzulia Basque Country,2.UWT,2026-04-06,completed,multi-stage race,90.442491,90.442491,7,LÓPEZ Jordi,gc,0.18547,40.631833,1.248995,0.178428,257.87495,0.478204,LÓPEZ Jordi | MARTÍN Gotzon | VAN DER TUUK Axel,gc | oneday | gc
euskaltel-euskadi,Euskaltel - Euskadi,2026,217,Région Pays de la Loire Tour,2.Pro,2026-04-07,completed,short stage race,31.916762,31.916762,7,MARTÍN Gotzon,oneday,0.240746,13.92665,1.260247,0.180035,78.833691,0.373234,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,16526,O Gran Camiño,2.1,2026-04-14,completed,short stage race,52.172714,52.172714,7,MARTÍN Gotzon,oneday,0.240746,22.345926,1.25548,0.179354,123.235148,0.348895,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,139,Tour of Hainan,2.Pro,2026-04-15,completed,multi-stage race,166.289272,166.289272,7,MARTÍN Gotzon,oneday,0.240746,73.870013,1.245434,0.177919,458.556204,0.455942,MARTÍN Gotzon | LÓPEZ Jordi | BERASATEGI Xabier,oneday | gc | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,153,Vuelta a Asturias,2.1,2026-04-23,scheduled,short stage race,37.721974,37.721974,7,MARTÍN Gotzon,oneday,0.240746,16.353155,1.260247,0.180035,90.728886,0.356409,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,152,Tour of Türkiye,2.Pro,2026-04-26,scheduled,multi-stage race,139.763914,139.763914,7,LÓPEZ Jordi,gc,0.18547,65.638125,1.176642,0.168092,414.569676,0.531697,LÓPEZ Jordi | VAN DER TUUK Axel | MARTÍN Gotzon,gc | gc | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,3277,GP Anicolor,2.1,2026-05-01,scheduled,multi-stage race,45.813897,45.813897,7,MARTÍN Gotzon,oneday,0.240746,20.022364,1.260247,0.180035,115.278452,0.385249,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,513,Tour of Hellas,2.1,2026-05-06,scheduled,multi-stage race,60.497796,60.497796,7,MARTÍN Gotzon,oneday,0.240746,26.236767,1.25548,0.179354,149.524248,0.377338,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,147,Tour du Finistère,1.1,2026-05-16,scheduled,sprint-friendly one-day,16.550896,16.550896,7,MARTÍN Gotzon,oneday,0.240746,8.998678,1.130289,0.16147,49.356202,0.562021,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,182,Boucles de l'Aulne,1.1,2026-05-17,scheduled,sprint-friendly one-day,28.118886,28.118886,7,MARTÍN Gotzon,oneday,0.240746,16.026125,1.130289,0.16147,88.14458,0.601663,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,4008,GP Beiras e Serra da Estrela,2.1,2026-05-20,scheduled,short stage race,37.139653,37.139653,7,MARTÍN Gotzon,oneday,0.240746,16.208562,1.260247,0.180035,90.677742,0.365846,MARTÍN Gotzon | BERASATEGI Xabier | AGIRRE Jon,oneday | oneday | oneday
euskaltel-euskadi,Euskaltel - Euskadi,2026,211,Tour of Slovenia,2.Pro,2026-06-17,scheduled,multi-stage race,139.322351,139.322351,7,LÓPEZ Jordi,gc,0.18547,63.574379,1.248995,0.178428,403.920315,0.490651,LÓPEZ Jordi | MARTÍN Gotzon | VAN DER TUUK Axel,gc | oneday | gc
