team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,97,GP la Marseillaise,1.1,2026-02-01,completed,sprint-friendly one-day,27.165772,27.165772,7,NENCINI Tommaso,oneday,0.141852,12.293538,1.014872,0.144982,75.405422,0.55452,NENCINI Tommaso | RAJOVIĆ Dušan | ARASHIRO Yukiya,oneday | fallback | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,139,Tour of Hainan,2.Pro,2026-04-15,completed,multi-stage race,167.701245,167.701245,7,RAJOVIĆ Dušan,fallback,0.291516,87.746522,1.075308,0.153615,451.896262,0.502254,RAJOVIĆ Dušan | FINKŠT Tilen | FABBRO Matteo,fallback | sprint | gc
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,62,Tour of the Alps,2.Pro,2026-04-20,scheduled,multi-stage race,109.004979,109.004979,7,RAJOVIĆ Dušan,fallback,0.291516,65.458224,1.061904,0.151701,334.893903,0.604868,RAJOVIĆ Dušan | FABBRO Matteo | UMBA Santiago,fallback | gc | gc
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,152,Tour of Türkiye,2.Pro,2026-04-26,scheduled,multi-stage race,139.795577,139.795577,7,RAJOVIĆ Dušan,fallback,0.291516,78.01631,1.075308,0.153615,419.442266,0.581669,RAJOVIĆ Dušan | FABBRO Matteo | FINKŠT Tilen,fallback | gc | sprint
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,149,Giro dell'Appennino,1.1,2026-04-26,scheduled,sprint-friendly one-day,31.436068,31.436068,7,NENCINI Tommaso,oneday,0.141852,14.81924,1.028275,0.146896,89.750579,0.567025,NENCINI Tommaso | ARASHIRO Yukiya | RAJOVIĆ Dušan,oneday | oneday | fallback
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,513,Tour of Hellas,2.1,2026-05-06,scheduled,multi-stage race,51.641774,51.641774,7,RAJOVIĆ Dušan,fallback,0.291516,25.007924,1.086558,0.155223,118.44035,0.393093,RAJOVIĆ Dušan | FINKŠT Tilen | NENCINI Tommaso,fallback | sprint | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,27600,Baku-Khankendi Azerbaijan Cycling Race,2.1,2026-05-10,scheduled,multi-stage race,46.192185,46.192185,7,RAJOVIĆ Dušan,fallback,0.291516,23.182282,1.086558,0.155223,108.755912,0.405868,RAJOVIĆ Dušan | FABBRO Matteo | NENCINI Tommaso,fallback | gc | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,144,Rund um Köln,1.1,2026-05-17,scheduled,sprint-friendly one-day,32.992749,32.992749,7,NENCINI Tommaso,oneday,0.141852,15.324869,1.014872,0.144982,93.038561,0.566006,NENCINI Tommaso | RAJOVIĆ Dušan | ARASHIRO Yukiya,oneday | fallback | oneday
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,341,Tour of Japan,2.2,2026-05-24,scheduled,multi-stage race,29.752569,29.752569,7,RAJOVIĆ Dušan,fallback,0.291516,17.748274,1.061904,0.151701,89.825136,0.591047,RAJOVIĆ Dušan | FABBRO Matteo | UMBA Santiago,fallback | gc | gc
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,211,Tour of Slovenia,2.Pro,2026-06-17,scheduled,multi-stage race,138.698891,138.698891,7,RAJOVIĆ Dušan,fallback,0.291516,78.854063,1.063581,0.15194,399.256775,0.551414,RAJOVIĆ Dušan | FABBRO Matteo | UMBA Santiago,fallback | gc | gc
solution-tech-nippo-rali,Solution Tech NIPPO Rali,2026,15209,Czech Tour,2.Pro,2026-08-13,scheduled,short stage race,32.455848,32.455848,7,RAJOVIĆ Dušan,fallback,0.291516,16.568739,1.073155,0.153308,76.808713,0.419646,RAJOVIĆ Dušan | NENCINI Tommaso | FABBRO Matteo,fallback | oneday | gc
