team_slug,team_name,planning_year,race_id,race_name,category,start_date,status,route_profile,expected_points,race_priority_points,recommended_rider_count,race_leader_rider,race_leader_specialty,race_leader_probability,race_leader_allocation_score,selected_breakout_probability_sum,selected_breakout_probability_mean,selected_allocation_score_total,selected_specialty_match_mean,top_recommended_riders,top_recommended_specialties
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,1,Tour Down Under,2.UWT,2026-01-20,completed,multi-stage race,114.433664,114.433664,7,TRENTIN Matteo,oneday,0.784849,70.277038,3.102667,0.443238,403.469166,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,129,Clasica de Almeria,1.Pro,2026-02-15,completed,sprint-friendly one-day,83.097362,83.097362,7,TRENTIN Matteo,oneday,0.784849,61.177138,2.671487,0.381641,305.607367,0.599237,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,9800,UAE Tour,2.UWT,2026-02-16,completed,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,107,Volta ao Algarve,2.Pro,2026-02-18,completed,multi-stage race,93.810714,93.810714,7,TRENTIN Matteo,oneday,0.784849,58.780378,3.102667,0.443238,348.124343,0.53977,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,21999,Classic Var,1.1,2026-02-21,completed,sprint-friendly one-day,50.466416,50.466416,7,TRENTIN Matteo,oneday,0.784849,38.954547,2.671487,0.381641,196.072193,0.653133,TRENTIN Matteo | MOZZATO Luca | PLUIMERS Rick,oneday | oneday | oneday
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,111,Tour des Alpes-Maritimes,1.1,2026-02-22,completed,short stage race,27.571952,27.571952,7,TRENTIN Matteo,oneday,0.784849,16.930826,3.020071,0.431439,89.090831,0.426506,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,121,Faun-Ardèche Classic,1.Pro,2026-02-28,completed,sprint-friendly one-day,48.571936,48.571936,7,TRENTIN Matteo,oneday,0.784849,34.482634,2.671487,0.381641,171.209444,0.559539,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,53,Omloop Nieuwsblad,1.UWT,2026-02-28,completed,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,84,Kuurne-Brussel-Kuurne,1.Pro,2026-03-01,completed,sprint-friendly one-day,46.950017,46.950017,7,TRENTIN Matteo,oneday,0.784849,33.231795,2.671487,0.381641,164.914387,0.556341,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,432,Faun Drome Classic,1.Pro,2026-03-01,completed,hard one-day,45.691604,45.691604,7,TRENTIN Matteo,oneday,0.784849,32.110605,2.671487,0.381641,158.994769,0.547818,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,112,Trofeo Laigueglia,1.Pro,2026-03-04,completed,sprint-friendly one-day,62.384715,62.384715,7,TRENTIN Matteo,oneday,0.784849,44.450404,2.671487,0.381641,220.837808,0.563454,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,54,Strade Bianche,1.UWT,2026-03-07,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,2,Paris-Nice,2.UWT,2026-03-08,completed,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,3,Tirreno-Adriatico,2.UWT,2026-03-09,completed,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,89,Milano - Torino,1.Pro,2026-03-18,completed,sprint-friendly one-day,67.662009,67.662009,7,TRENTIN Matteo,oneday,0.784849,49.675147,2.671487,0.381641,248.036313,0.596149,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,122,Nokere Koerse,1.Pro,2026-03-18,completed,sprint-friendly one-day,59.510632,59.510632,7,TRENTIN Matteo,oneday,0.784849,43.199786,2.671487,0.381641,215.300035,0.583689,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,123,Bredene Koksijde Classic,1.Pro,2026-03-20,completed,sprint-friendly one-day,69.396831,69.396831,7,TRENTIN Matteo,oneday,0.784849,49.872259,2.671487,0.381641,248.135223,0.572717,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,4,Milano-Sanremo,1.UWT,2026-03-21,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,40,Ronde Van Brugge - Tour of Bruges,1.UWT,2026-03-25,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,47,E3 Saxo Classic,1.UWT,2026-03-27,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,7,In Flanders Fields,1.UWT,2026-03-29,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,75,Dwars door Vlaanderen,1.UWT,2026-04-01,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,48,GP Miguel Indurain,1.Pro,2026-04-04,completed,sprint-friendly one-day,71.409012,71.409012,7,TRENTIN Matteo,oneday,0.784849,51.688447,2.671487,0.381641,257.482441,0.580546,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,5,Ronde van Vlaanderen,1.UWT,2026-04-05,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,6,Itzulia Basque Country,2.UWT,2026-04-06,completed,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,56,Scheldeprijs,1.Pro,2026-04-08,completed,hard one-day,31.168687,31.168687,7,TRENTIN Matteo,oneday,0.784849,19.039477,3.027707,0.43253,89.294233,0.336832,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,8,Paris-Roubaix,1.UWT,2026-04-12,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,9,Amstel Gold Race,1.UWT,2026-04-19,completed,hard one-day,45.356568,45.356568,7,TRENTIN Matteo,oneday,0.784849,32.747742,2.671487,0.381641,162.705448,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,62,Tour of the Alps,2.Pro,2026-04-20,scheduled,multi-stage race,94.199628,94.199628,7,TRENTIN Matteo,oneday,0.784849,59.110173,3.102667,0.443238,351.271336,0.544468,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,10,La Flèche Wallonne,1.UWT,2026-04-22,scheduled,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,11,Liège-Bastogne-Liège,1.UWT,2026-04-26,scheduled,hard one-day,43.08874,43.08874,7,TRENTIN Matteo,oneday,0.784849,31.110355,2.671487,0.381641,154.570176,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,12,Tour de Romandie,2.UWT,2026-04-28,scheduled,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,35,Eschborn-Frankfurt,1.UWT,2026-05-01,scheduled,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,13,Giro d'Italia,2.UWT,2026-05-08,scheduled,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,144,Rund um Köln,1.1,2026-05-17,scheduled,sprint-friendly one-day,27.738903,27.738903,7,TRENTIN Matteo,oneday,0.784849,20.672269,2.671487,0.381641,103.472812,0.612884,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,24917,Classique Dunkerque,1.Pro,2026-05-19,scheduled,sprint-friendly one-day,136.222231,136.222231,7,TRENTIN Matteo,oneday,0.784849,105.832313,2.671487,0.381641,533.226711,0.660714,TRENTIN Matteo | MOZZATO Luca | PLUIMERS Rick,oneday | oneday | oneday
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,175,4 Jours de Dunkerque,2.Pro,2026-05-20,scheduled,multi-stage race,138.339773,138.339773,7,TRENTIN Matteo,oneday,0.784849,85.728626,3.102667,0.443238,495.054218,0.505384,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,50,Veenendaal Classic,1.1,2026-05-23,scheduled,sprint-friendly one-day,17.078302,17.078302,7,TRENTIN Matteo,oneday,0.784849,12.338415,2.671487,0.381641,61.443376,0.578469,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,539,Grand Prix Criquielion,1.1,2026-05-24,scheduled,sprint-friendly one-day,22.606748,22.606748,7,TRENTIN Matteo,oneday,0.784849,16.652946,2.671487,0.381641,83.196857,0.59988,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,343,Boucles de la Mayenne,2.Pro,2026-05-28,scheduled,short stage race,106.628271,106.628271,7,TRENTIN Matteo,oneday,0.784849,65.4376,3.102667,0.443238,362.837303,0.459744,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,349,Heistse Pijl,1.1,2026-06-06,scheduled,sprint-friendly one-day,34.277952,34.277952,7,TRENTIN Matteo,oneday,0.784849,25.629903,2.671487,0.381641,128.356127,0.616605,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,15,Tour Auvergne - Rhône-Alpes,2.UWT,2026-06-07,scheduled,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,64,Brussels Cycling Classic,1.Pro,2026-06-07,scheduled,sprint-friendly one-day,64.798111,64.798111,7,TRENTIN Matteo,oneday,0.784849,47.430657,2.671487,0.381641,236.712473,0.592841,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,231,Circuit Franco-Belge,1.Pro,2026-06-10,scheduled,sprint-friendly one-day,66.728501,66.728501,7,TRENTIN Matteo,oneday,0.784849,49.104304,2.671487,0.381641,245.280147,0.598741,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,24060,Copenhagen Sprint,1.UWT,2026-06-14,scheduled,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,199,GP Gippingen,1.1,2026-06-14,scheduled,sprint-friendly one-day,22.608116,22.608116,7,TRENTIN Matteo,oneday,0.784849,16.642675,2.671487,0.381641,83.136309,0.599127,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,60,Baloise Belgium Tour,2.Pro,2026-06-17,scheduled,multi-stage race,124.377931,124.377931,7,TRENTIN Matteo,oneday,0.784849,76.604786,3.102667,0.443238,433.592209,0.481371,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,16,Tour de Suisse,2.UWT,2026-06-17,scheduled,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,17,Tour de France,2.UWT,2026-07-04,scheduled,multi-stage race,108.711981,108.711981,7,TRENTIN Matteo,oneday,0.784849,66.763186,3.102667,0.443238,383.295707,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,18,Donostia San Sebastian Klasikoa,1.UWT,2026-08-01,scheduled,hard one-day,43.08874,43.08874,7,TRENTIN Matteo,oneday,0.784849,31.110355,2.671487,0.381641,154.570176,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,19,Tour de Pologne,2.UWT,2026-08-03,scheduled,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,192,Vuelta a Burgos,2.Pro,2026-08-04,scheduled,multi-stage race,109.789337,109.789337,7,TRENTIN Matteo,oneday,0.784849,68.230468,3.102667,0.443238,395.649527,0.511924,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,259,Arctic Race of Norway,2.Pro,2026-08-13,scheduled,short stage race,109.597444,109.597444,7,TRENTIN Matteo,oneday,0.784849,67.17593,3.102667,0.443238,371.183337,0.455579,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,20,ADAC Cyclassics,1.UWT,2026-08-16,scheduled,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,36,Lidl Deutschland Tour,2.Pro,2026-08-19,scheduled,short stage race,140.244234,140.244234,7,TRENTIN Matteo,oneday,0.784849,85.712846,3.087729,0.441104,475.134077,0.458805,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,21,Renewi Tour,2.UWT,2026-08-19,scheduled,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,23,Vuelta a España,2.UWT,2026-08-22,scheduled,multi-stage race,91.546931,91.546931,7,TRENTIN Matteo,oneday,0.784849,56.221631,3.102667,0.443238,322.775332,0.491683,TRENTIN Matteo | MOZZATO Luca | BRENNER Marco,oneday | oneday | gc
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,22,Bretagne Classic,1.UWT,2026-08-30,scheduled,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,13191,Maryland Cycling Classic,2.Pro,2026-09-05,scheduled,sprint-friendly one-day,95.956245,95.956245,7,TRENTIN Matteo,oneday,0.784849,73.813757,2.671487,0.381641,371.332463,0.649136,TRENTIN Matteo | MOZZATO Luca | PLUIMERS Rick,oneday | oneday | oneday
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,263,GP Industria & Artigianato,1.Pro,2026-09-06,scheduled,sprint-friendly one-day,73.947476,73.947476,7,TRENTIN Matteo,oneday,0.784849,54.972632,2.671487,0.381641,275.049117,0.610099,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,4025,Giro della Toscana,1.1,2026-09-09,scheduled,sprint-friendly one-day,30.027344,30.027344,7,TRENTIN Matteo,oneday,0.784849,22.473621,2.671487,0.381641,112.566981,0.617708,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,160,Coppa Sabatini,1.Pro,2026-09-10,scheduled,sprint-friendly one-day,51.043509,51.043509,7,TRENTIN Matteo,oneday,0.784849,36.408695,2.671487,0.381641,180.918278,0.564612,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,59,GP Québec,1.UWT,2026-09-11,scheduled,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,68,Memorial Pantani,1.1,2026-09-12,scheduled,sprint-friendly one-day,14.872095,14.872095,7,TRENTIN Matteo,oneday,0.784849,10.656527,2.671487,0.381641,52.994313,0.569533,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,92,GP de Fourmies,1.Pro,2026-09-13,scheduled,sprint-friendly one-day,63.080543,63.080543,7,TRENTIN Matteo,oneday,0.784849,46.122785,2.671487,0.381641,230.14351,0.591628,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,58,GP Montreal,1.UWT,2026-09-13,scheduled,hard one-day,36.285255,36.285255,7,TRENTIN Matteo,oneday,0.784849,26.198194,2.671487,0.381641,130.164358,0.575744,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,752,Giro d'Abruzzo,2.1,2026-09-15,scheduled,short stage race,61.478133,61.478133,7,TRENTIN Matteo,oneday,0.784849,36.585174,3.03346,0.433351,182.189985,0.361164,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,93,Grand Prix de Wallonie,1.Pro,2026-09-16,scheduled,hard one-day,46.700678,46.700678,7,TRENTIN Matteo,oneday,0.784849,32.96518,2.671487,0.381641,163.503931,0.553368,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,167,Kamp. van Vlaanderen,1.1,2026-09-18,scheduled,hard one-day,9.074944,9.074944,7,TRENTIN Matteo,oneday,0.784849,6.176845,2.671487,0.381641,30.201088,0.508396,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,88,Giro del Lazio,1.1,2026-09-19,scheduled,sprint-friendly one-day,36.564837,36.564837,7,TRENTIN Matteo,oneday,0.784849,27.230243,2.671487,0.381641,136.265746,0.611961,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
tudor-pro-cycling-team,Tudor Pro Cycling Team,2026,171,GP d'Isbergues,1.1,2026-09-20,scheduled,sprint-friendly one-day,20.419539,20.419539,7,TRENTIN Matteo,oneday,0.784849,14.727487,2.671487,0.381641,73.319822,0.576632,TRENTIN Matteo | MOZZATO Luca | RONDEL Mathys,oneday | oneday | hills
